Lancashire Constabulary,18.843006888289906
Greater Manchester Police,20.728563361012036
Cambridgeshire Constabulary,20.982594374854596
Kent Police,21.66956118269708
West Midlands Police,21.817038468127226
Bedfordshire Police,22.460305078869823
Essex Police,24.20169711988953
Cleveland Police,25.35186728278161
Merseyside Police,26.074254357302145
Humberside Police,26.604332568497775
Sussex Police,27.197303579417593
Nottinghamshire Police,28.13175743068023
Northumbria Police,28.448996631341537
West Mercia Police,29.61290181052385
Warwickshire Police,30.155431612342014
Durham Constabulary,31.299005101874172
West Yorkshire Police,32.37822127407832
Northamptonshire Police,32.843797030776614
Surrey Police,33.76620830467443
Cumbria Constabulary,33.906513694508114
