Person and Vehicle search,01,21518
Person and Vehicle search,02,18036
Person and Vehicle search,03,18031
Person and Vehicle search,04,17372
Person and Vehicle search,05,16499
Person and Vehicle search,06,14138
Person and Vehicle search,07,14480
Person and Vehicle search,08,14993
Person and Vehicle search,09,12267
Person and Vehicle search,10,17221
Person and Vehicle search,11,17690
Person and Vehicle search,12,16513
Person search,01,58444
Person search,02,55413
Person search,03,56765
Person search,04,56329
Person search,05,56632
Person search,06,51055
Person search,07,51170
Person search,08,59232
Person search,09,44920
Person search,10,66924
Person search,11,58409
Person search,12,53469
Vehicle search,01,1206
Vehicle search,02,1083
Vehicle search,03,1101
Vehicle search,04,1216
Vehicle search,05,1258
Vehicle search,06,1184
Vehicle search,07,1244
Vehicle search,08,1165
Vehicle search,09,1085
Vehicle search,10,1128
Vehicle search,11,1090
Vehicle search,12,1089
