Person and Vehicle search,00,16415
Person and Vehicle search,01,10788
Person and Vehicle search,02,6931
Person and Vehicle search,03,4423
Person and Vehicle search,04,2648
Person and Vehicle search,05,1291
Person and Vehicle search,06,720
Person and Vehicle search,07,1049
Person and Vehicle search,08,1784
Person and Vehicle search,09,3199
Person and Vehicle search,10,5194
Person and Vehicle search,11,6557
Person and Vehicle search,12,7674
Person and Vehicle search,13,8919
Person and Vehicle search,14,9866
Person and Vehicle search,15,11240
Person and Vehicle search,16,11554
Person and Vehicle search,17,10197
Person and Vehicle search,18,9593
Person and Vehicle search,19,11072
Person and Vehicle search,20,12559
Person and Vehicle search,21,12501
Person and Vehicle search,22,13956
Person and Vehicle search,23,18628
Person search,00,44832
Person search,01,27850
Person search,02,20649
Person search,03,14730
Person search,04,9920
Person search,05,5930
Person search,06,4368
Person search,07,5678
Person search,08,8506
Person search,09,13320
Person search,10,19922
Person search,11,25162
Person search,12,29958
Person search,13,34366
Person search,14,40251
Person search,15,46125
Person search,16,44950
Person search,17,39916
Person search,18,36258
Person search,19,36122
Person search,20,37857
Person search,21,35528
Person search,22,35979
Person search,23,50585
Vehicle search,00,961
Vehicle search,01,635
Vehicle search,02,434
Vehicle search,03,336
Vehicle search,04,209
Vehicle search,05,161
Vehicle search,06,120
Vehicle search,07,174
Vehicle search,08,299
Vehicle search,09,383
Vehicle search,10,517
Vehicle search,11,591
Vehicle search,12,606
Vehicle search,13,733
Vehicle search,14,770
Vehicle search,15,804
Vehicle search,16,823
Vehicle search,17,722
Vehicle search,18,643
Vehicle search,19,673
Vehicle search,20,751
Vehicle search,21,706
Vehicle search,22,782
Vehicle search,23,1016
