count;area;electorate;valid_votes;remain;leave;pct_crimes;pct_voted;pct_remain;pct_leave
87103;Plymouth;186989;133455;53458;79997;0,4658188449587944;0,7137050842562932;0,4005694803491814;0,5994305196508186
110271;Brent;186793;121404;72523;48881;0,5903379676968623;0,6499387021997612;0,5973691146914435;0,40263088530855656
66434;Havering;183082;139086;42201;96885;0,36286472728067204;0,7596923782785856;0,30341659117380615;0,6965834088261939
122287;Kingston upon Hull, City of;180230;113355;36709;76646;0,6785052433002274;0,6289463463352383;0,32384103039124873;0,6761589696087512
117350;Stoke-on-Trent;179010;117590;36027;81563;0,6555499692754595;0,6568906764985196;0,30637809337528704;0,693621906624713
70642;Milton Keynes;177211;130456;63393;67063;0,3986321390884313;0,7361619764010134;0,48593395474336176;0,5140660452566382
123042;Newham;176985;104699;55328;49371;0,6952114585981863;0,5915699070542701;0,52844821822558;0,47155178177442003
90846;Barnsley;175809;122909;38951;83958;0,5167312253638893;0,6991052790243958;0,31690925806897785;0,6830907419310221
75780;Wolverhampton;174760;117936;44138;73798;0,4336232547493706;0,674845502403296;0,37425383258716594;0,6257461674128341
96394;Salford;173668;109815;47430;62385;0,5550475620148789;0,632327199023424;0,4319082092610299;0,5680917907389701
74008;Swansea;172941;120243;58307;61936;0,42793785163726356;0,6952833625340434;0,48490972447460556;0,5150902755253944
66816;Rhondda Cynon Taf;172890;116563;53973;62590;0,3864653826132223;0,6742032506217827;0,4630371558727898;0,5369628441272102
105394;Derby;171246;120655;51612;69043;0,6154537916214101;0,7045712016631045;0,4277651154117111;0,572234884588289
54174;Bexley;170779;128489;47603;80886;0,31721698803717086;0,7523700220753137;0,37048307637229644;0,6295169236277035
88486;Greenwich;168967;117365;65248;52117;0,5236880574313327;0,6946030881769814;0,5559408682315852;0,44405913176841477
91353;Tameside;168047;110947;43118;67829;0,54361577415842;0,6602141067677495;0,388636015394738;0,611363984605262
132355;Tower Hamlets;167820;108235;73011;35224;0,7886723870813968;0,64494696698844;0,6745599852173512;0,3254400147826489
63103;Trafford;165294;125311;72293;53018;0,3817621934250487;0,7581097922489625;0,5769086512756263;0,42309134872437376
89969;Hounslow;165050;115076;58755;56321;0,5451014843986671;0,6972190245380188;0,5105756195905314;0,4894243804094685
110462;Hackney;163284;106266;83398;22868;0,6765022904877391;0,6508047328580877;0,7848041706660644;0,2151958293339356
85301;Waltham Forest;162983;108551;64156;44395;0,5233736033819478;0,6660265181031151;0,5910217317205737;0,40897826827942624
53879;Harrow;162397;117225;64042;53183;0,33177337019772535;0,7218421522565072;0,5463169119215184;0,45368308807848157
48763;North Somerset;160860;124548;59572;64976;0,30313937585478057;0,7742633345766505;0,4783055528792112;0,5216944471207887
52405;Solihull;160425;121950;53466;68484;0,3266635499454574;0,7601683029453016;0,43842558425584255;0,5615744157441575
116518;Southampton;158171;107665;49738;57927;0,7366584266395231;0,6806873573537501;0,46196999953559653;0,5380300004644035
102476;Oldham;158084;107403;42034;65369;0,6482376458085575;0,679404620328433;0,39136709402903086;0,6086329059709692
59439;Warrington;157042;115144;52657;62487;0,3784911042905719;0,7332051298378778;0,45731431946084905;0,542685680539151
